"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"232","3_CHOYP_MEGF6.44.59|m.47511",0.5,0,0,0.5,0,0,0,0
"233","3_CHOYP_NEMVEDRAFT_V1G236653.1.1|m.59422",1,0,0,0,0,0,0,0.5
"234","3_CHOYP_PHC2.1.1|m.48379",0.5,0.5,0,0,0,0,0,0
"235","3_CHOYP_PPIL2.1.1|m.55184",0,0.5,0,0,0,0,0,0
"236","3_CHOYP_TITIN.4.19|m.19569",0,0,0,0,0.5,0,0,0
"237","3_CHOYP_TLR6.1.2|m.24581",0,0,0,0,0,0,0,0.5
"238","3_CHOYP_TVAG_313830.1.4|m.32667",0,0,0.5,0,0,0,0,0
"239","3_CHOYP_BRAFLDRAFT_224574.18.18|m.65591",0,0,0,0,0,0.5,0,0
"240","3_CHOYP_CYIIB.2.2|m.64545",0,0,0,0,0.5,0,0,0
"241","3_CHOYP_EFTUD1.1.1|m.10474",0,0,0,0,0,0,0,0.5
"242","3_CHOYP_GPAT4.1.1|m.56178",0.5,0,0,0,0,0.5,0,0
"243","3_CHOYP_ITB1.2.4|m.24270",0,0,0,0.5,0,0,0,0
"244","3_CHOYP_LOC100117425.1.1|m.1256",0.5,0,0,0,0,0.5,0,0
"245","3_CHOYP_LOC100146233.1.1|m.36400",0,0,0,0,0.5,0,0,0
"246","3_CHOYP_LOC100560904.1.1|m.37479",0,0,0,0,0,0,0,0.5
"247","3_CHOYP_LOC756946.1.1|m.49284",0,0,0,0,0.5,0,0,0
"248","3_CHOYP_MEGF6.48.59|m.51016",0.5,0,0,0,0,0.5,0,0
"249","3_CHOYP_PTPRG.2.3|m.61939",0,0,0.5,0,0,0,0,0
"250","3_CHOYP_PTPRT.26.45|m.52045",0,0.5,0,0,0,0,0,0
"251","3_CHOYP_RM22.1.1|m.63127",0,0,0,0,0.5,0,0,0
"252","3_CHOYP_SC5A9.3.5|m.27017",0,0,0,0.5,0,0,0,0
"253","3_CHOYP_TSP_07884.1.1|m.41175",0,0,0,0,0,0,0,0.5
"254","3_CHOYP_ARHGEF3.1.1|m.13898",0.5,0,0,0,0,0,0.5,0
"255","3_CHOYP_BRAFLDRAFT_118210.1.1|m.51280",0,0,0,0,0.5,0,0,0
"256","3_CHOYP_BRAFLDRAFT_131608.1.1|m.44249",0,0,0,0,0.5,0,0,0
"257","3_CHOYP_BRAFLDRAFT_68915.2.7|m.3908",0,0,0,0,0.5,0,0,0
"258","3_CHOYP_BRAFLDRAFT_92908.1.1|m.36182",0.5,0,0,0.5,0,0,0,0
"259","3_CHOYP_CAOG_01182.1.1|m.8019",1,0.5,0,0,0,0,0,0
"260","3_CHOYP_DICPUDRAFT_147269.1.1|m.34818",0,0.5,0,0,0,0,0,0
"261","3_CHOYP_DPOG1.1.1|m.35597",0,0,0,0,0,0,0,0.5
"262","3_CHOYP_ISCW_ISCW000642.1.1|m.4065",0,0,0,0.5,0,0,0,0
"263","3_CHOYP_ISCW_ISCW020054.1.1|m.58472",0,0,0,0,0,0,0,0.5
"264","3_CHOYP_LOC100162439.1.1|m.19182",0.5,0.5,0,0,0,0,0,0
"265","3_CHOYP_LOC100533220.2.2|m.13989",0,0,0,0,0,0,0.5,0
"266","3_CHOYP_LOC575944.3.5|m.24887",0,0,0,0,0,0,0.5,0
"267","3_CHOYP_MED17.1.1|m.1678",0,0,0,0,0.5,0,0,0
"268","3_CHOYP_NEMVEDRAFT_V1G141380.2.4|m.8974",0,0,0,0,0,0,0,0.5
"269","3_CHOYP_NEMVEDRAFT_V1G193373.1.2|m.19292",0,0,0,0,0,0.5,0,0
"270","3_CHOYP_NEMVEDRAFT_V1G218914.4.4|m.62116",0,0,0,0,0,0.5,0,0
"271","3_CHOYP_PAT3.4.4|m.54228",0,0,0,0,0,0.5,0,0
"272","3_CHOYP_PHUM_PHUM516040.1.1|m.55603",0,0.5,0,0,0,0,0,0
"273","3_CHOYP_PLB1.1.1|m.16558",0,0,0.5,0,0,0,0,0
"274","3_CHOYP_USH1C.1.1|m.30582",0,0,0,0,0,0.5,0,0
"275","3_CHOYP_VP13D.2.3|m.58593",0,0,0,0,0,0.5,0,0
"276","3_CHOYP_BRAFLDRAFT_214790.1.1|m.15955",0,0,0,0,0.5,0,0,0
