"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
4,"3","CHOYP_BRAFLDRAFT_237339.1.1.m.15256",0.1,0.1,0.1,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_244533.2.2.m.53951",9.48225,3.56815,6.304,2.53075,4.00895,1.68615
3,"3","CHOYP_BRAFLDRAFT_246447.1.1.m.30255",5.81665,1.95125,1.0563,1.06605,1.1612,0.1
6,"3","CHOYP_BRAFLDRAFT_246510.1.1.m.27433",23.80465,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_249506.2.2.m.60314",0.77185,0.4336,0.81735,0.1,0.87355,2.1271
3,"3","CHOYP_BRAFLDRAFT_258021.1.1.m.6099",1.6665,1.69535,1.79,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_260828.1.1.m.16250",0.1,1.4288,0.1,2.9816,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_264304.1.1.m.35625",0.1,0.1,0.1,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_264316.1.1.m.29655",16.1731,2.8006,5.7092,2.9742,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_268591.1.1.m.59744",4.1213,4.15115,2.19085,0.1,2.35065,2.8864
1,"3","CHOYP_BRAFLDRAFT_270293.1.3.m.8709",2.3865,2.42825,7.4514,7.63505,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_275724.1.1.m.54178",4.3795,5.4496,5.5387,5.3371,4.94505,4.0273
4,"3","CHOYP_BRAFLDRAFT_275793.1.1.m.9519",0.1,0.1,0.1,0.1,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_276592.1.1.m.8046",0.64815,0.66195,0.1,2.53765,1.38905,0.1
3,"3","CHOYP_BRAFLDRAFT_277055.1.2.m.3095",0.1,1.19415,1.21485,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_277091.1.3.m.1103",4.02285,12.0878,0.1,16.85465,4.4968,0.1
3,"3","CHOYP_BRAFLDRAFT_277269.1.1.m.51636",0.1,0.8359,0.8811,1.72095,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_277528.1.1.m.10120",7.28745,4.3871,3.08855,6.17085,3.30095,4.01885
4,"3","CHOYP_BRAFLDRAFT_277744.1.2.m.5416",1.9513,1.94475,0.1,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_277797.1.1.m.26394",5.96515,3.07565,3.2497,15.764,6.6708,8.21255
3,"3","CHOYP_BRAFLDRAFT_278091.1.1.m.7340",0.4437,1.983,0.8318,0.1,0.889,0.1
4,"3","CHOYP_BRAFLDRAFT_278918.2.5.m.16457",0.1,0.1,1.3516,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_278918.4.5.m.39356",0.1,0.1,8.7137,22.1681,18.8773,5.7893
